2023-02-15 09:12:58.8433|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2023-02-15 09:12:58.8433|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2023-02-15 09:12:58.8433|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2023-02-15 09:12:58.8433|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2023-02-15 09:12:58.8433|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2023-02-15 09:12:58.8433|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending DATA frame for stream ID 5 with length 10240 and flags NONE.
2023-02-15 09:12:58.8433|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending DATA frame for stream ID 5 with length 403 and flags NONE.
2023-02-15 09:12:58.8433|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending DATA frame for stream ID 5 with length 0 and flags END_STREAM.
2023-02-15 09:12:58.8433|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request finished HTTP/2 GET https://localhost:7122/_vs/browserLink - - - 200 - text/javascript;+charset=UTF-8 41.4540ms
2023-02-15 09:12:58.9318|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" received HEADERS frame for stream ID 7 with length 66 and flags END_STREAM, END_HEADERS, PRIORITY.
2023-02-15 09:12:58.9318|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request starting HTTP/2 GET https://localhost:7122/swagger/v1/swagger.json - -
2023-02-15 09:12:58.9318|TRACE|Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware|All hosts are allowed.
2023-02-15 09:12:58.9360|DEBUG|Microsoft.AspNetCore.Routing.Matching.DfaMatcher|No candidates found for the request path '/swagger/v1/swagger.json'
2023-02-15 09:12:58.9360|DEBUG|Microsoft.AspNetCore.Routing.EndpointRoutingMiddleware|Request did not match any endpoints
2023-02-15 09:12:59.0619|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending HEADERS frame for stream ID 7 with length 35 and flags END_HEADERS.
2023-02-15 09:12:59.0619|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending DATA frame for stream ID 7 with length 16384 and flags NONE.
2023-02-15 09:12:59.0619|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending DATA frame for stream ID 7 with length 5558 and flags NONE.
2023-02-15 09:12:59.0619|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" sending DATA frame for stream ID 7 with length 0 and flags END_STREAM.
2023-02-15 09:12:59.0619|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request finished HTTP/2 GET https://localhost:7122/swagger/v1/swagger.json - - - 200 - application/json;charset=utf-8 128.6035ms
2023-02-15 09:13:01.1046|DEBUG|Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets|Connection id "0HMOF0QT63QIB" received FIN.
2023-02-15 09:13:01.1082|DEBUG|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMOF0QT63QIB" is closed. The last processed stream ID was 7.
2023-02-15 09:13:01.1082|DEBUG|Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets|Connection id "0HMOF0QT63QIB" sending FIN because: "The client closed the connection."
2023-02-15 09:13:01.1082|DEBUG|Microsoft.AspNetCore.Server.Kestrel.Connections|Connection id "0HMOF0QT63QIB" stopped.
